id,body,y,dataset
11,"Madonna splits from boyfriend Jesus Luz

Age gap fuelled 'amicable' break up between Madonna and Jesus

Madonna, 51, is said to have been dumped by 23-year-old Brazillian model Jesus Luz - who she has been dating for over a year - because the massive 28-year age gap left them with little in common. A source said: ""The problem is as simple as it is obvious - it's the age difference. How long could it last? How it even lasted a year seems a miracle to a lot of people. ""They are in such different places in their lives. They both benefited, but it's pretty much over now.""

The split was said to be amicable with Madonna - who raises four children, 13-year-old Lourdes, Rocco, nine, Mercy, five, and four-year-old David - agreeing it was time to call an end to their relationship. The source, speaking to the Chicago Sun-Times, added: ""Madonna told me, ""We've just run out of things to talk about. We have Kabbalah, but that's about it. It's really pushing it for us to have common ground these days."" "" Madonna's representative had no comment to make last night. The news comes just days after Jesus was pictured frolicking with three bikini-clad young women in Brazil.",uncertain,test
12,"David Walliams to marry supermodel girlfriend Lara Stone

Comedian David Walliams pops the question in Los Angeles

Little Britain star David Walliams said he proposed to Vogue cover girl Lara Stone - who is 13 years his junior - in Los Angeles last week. The 38-year-old, known for his cross-dressing TV roles, was said to have popped the question with a vintage ring after phoning his 25-year-old fiancee's parents in Holland to ask for their blessing. David's spokeswoman said he is travelling at the moment, but confirmed: ""He is engaged."" Walliams told: ""It's true, we're engaged and blissfully happy. I wasn't planning to make a public announcement because I am not a royal - yet.""

The couple have been spending time in Brazil, where Lara is modelling at Sao Paolo Fashion Week. They have been dating since last year. David has previously been linked to a string of beauties including models Lisa Snowdon and Abi Titmuss. Known for catchphrases such as: ""I'm a lay-dee"" as transvestite Emily Howard, the funnyman stars with comedy partner Matt Lucas in sketch show Little Britain.",uncertain,training
13,"NATO men romp in Afghan brothels

NATO men are romping nightly with prostitutes in Kabul - while Our Boys die on the front line.

filmed civilian workers visiting illicit brothels in the Afghan capital for sex with Chinese hookers.

They glugged down contraband beer as they leered at $70-a-night girls before leading them off to gloomy bedrooms.

Nato chiefs say one in five civilian staff use brothels and warn it must stop for fear of outraging Muslim Afghans and derailing the security mission.

It will also anger British troops fighting in appalling conditions 400 miles south in Helmand, where 86 have died in the last two years.

Hundreds of foreign contractors get up to $100,000 a year tax-free for admin and security work.

Vice dens posing as Chinese restaurants have boomed since the collapse of the Taliban.

A probe identified three hidden away behind wire-topped walls and heavily bolted doors.

Groped

At one named Paradise armed doormen inspected our investigators before they were shown to a dingy bar where contractors openly groped girls.

A hooker called Boo Boo said she hardly slept because she was constantly booked. Another called Sin Sin said: ""Kabul is dirty and dangerous but I like money.""

There has been a rise in sexual diseases and NATO chiefs fear staff could be blackmailed.

Afghan MP Shukria Barakzai warned: ""They will undermine their reason for being here.""

NATO says: ""Civilians were warned not to visit certain establishments.""",uncertain,test
14,"""Friendly fire"" killed VC hero

A paratrooper awarded a posthumous Victoria Cross for his bravery in Afghanistan may have been killed by so-called friendly fire, an inquest heard today.

Corporal Bryan Budd, of the 3rd Battalion the Parachute Regiment died in August 2006 after being shot in the abdomen during a fierce firefight with the Taliban in Sangin, Helmand Province.

The Assistant Deputy Coroner for Oxfordshire, Andrew Walker, today ruled that Cpl Budd had died in a crossfire.

The inquest in Oxford was told that Cpl Budd, 29, from Ripon, North Yorkshire, had also spearheaded an attack on an enemy position a month before his death, allowing a wounded colleague to be evacuated for life-saving treatment.

Earlier Mr Walker, heard that tests on fragments of the bullet which killed Cpl Budd showed it was likely to have been fired from a Nato weapon.

Ballistics expert Ed Wallace told the court that tests of 24 weapons used by Cpl Budd's comrades had failed to establish if any of them had fired the fatal shot.

But Mr Wallace said tests on two bullet fragments had established that they were from 5.56 calibre ammunition, which is used in rifles and machine guns issued to British troops.

After hearing Mr Wallace's evidence, the coroner told the hearing: ""In summary, I can be satisfied on the balance of probability that this was a Nato 5.56 projectile fired from a Nato weapon.""

Mr Wallace replied: ""Yes, that's the most likely cause.""

The posthumous award of the Victoria Cross - Britain's highest award for military bravery - to Cpl Budd was the first for almost a quarter of a century.

The soldier's widow Lorena accepted the honour, which he received for two separate acts of ""exceptional valour"" while deployed in southern Afghanistan, on his behalf in December 2006.

In a statement today, Mrs Budd said the inquest had been a difficult and emotional experience.

""Bryan laid down his life in an act of supreme valour,"" she said.

""By making the ultimate sacrifice, his conspicuous gallantry reflected the highest traditions of the Parachute Regiment.

""He did so doing the job he loved and serving in the regiment and with his fellow Paratroopers that meant so much to him.""

Mrs Budd, from Ripon, North Yorkshire, added: ""Bryan was a loving husband and father to our two daughters, Imogene and Isabel.

""He will always be missed, but his memory continues to live on. I would now ask that my family and I are left in peace to remember Bryan without intrusion into out privacy.""",uncertain,training
15,"4 marines hold off 200 Taliban

FOUR Royal Marine commandos fought off an ambush by 200 Taliban fighters in Afghanistan, it emerged yesterday.

The group - who had only been in the war-torn country five days - held off the rebels for four hours on Wednesday until reinforcements arrived.

The heroes were helped by soldiers from the Afghan National Army in what marines have dubbed Afghanistans Rorkes Drift.

During the battle, Pakistani mercenaries in the pay of Taliban warlords rained heavy gunfire and grenades from all directions.

The clash took place at an outstation known as Garmazia in the lawless Helmand region 30 miles from the Pakistan border.

The besieged commandos radioed for support with the message: We are surrounded.

At one point they looked death in the face as they were encircled by the advancing mob firing heavy machine guns.

They were only saved when an Apache helicopter arrived to hammer the insurgents.

The platoon house was too far from the main British base for a rescue party to be sent by land.

The marines, from 42 Commando, escaped with only minor injuries and two Afghan National Army soldiers were wounded.

A Royal Marines source said: This was an amazing show of true British grit and heroism and a triumph against all the odds. Our marines showed why they are the best in the world.

A Ministry of Defence spokesman said: These men are incredible professionals - the best we have.

Twenty-four British soldiers have been killed in Afghanistan since August.

Meanwhile NATO yesterday agreed to take command of peacekeeping across all of Afghanistan next month after the US pledged an extra 12,000 troops to its force.

America will provide 14,000 of the 32,000 NATO troops who will be under British command.

It will be the biggest deployment of US troops under foreign command since World War II.",uncertain,test
16,"Olympic Snowboarder Sent Home After Racy Pics Hit the Web

An Olympic snowboarder has left Vancouver following the Internet release of racy photos of him posing with his bronze medal in a bar.

Scotty Lago nabbed the bronze for his snowboard half-pipe last Wednesday. On Thursday, he was snapped in a bar lifting up his shirt and wearing his bronze around his waist while a female fan nibbled on it. He also posted another photo of the same female fan biting the bronze.

After the pics hit the Web, Lago, 22, apologized to U.S. officials and agreed to leave the games. He was not scheduled to compete again.

U.S. Ski and Snowboard Association president and CEO Bill Marolt said in a statement Monday, ""Scotty Lago is a great athlete, but with that comes a responsibility of proper conduct and his involvement in this situation is not acceptable. Scotty realizes his conduct was inappropriate. He has formally apologized and also made a decision to leave Vancouver today.""",uncertain,training
17,"Two Olympians Injured in Car Accident

Two Olympians were injured over the weekend in Vancouver when the van they were riding in as part of Vice President Joe Biden's motorcade was involved in a minor accident.

Peggy Fleming, 61, who won a gold medal in figure skating in 1968, and Vonetta Flowers, who took home a gold medal in 2002 for bobsledding, suffered minor injuries, said Biden's spokesman, Jay Carney.

The women were traveling between Olympic events on Sunday in the same van. The vice president's car was not involved.

Fleming and Flowers were checked out at a local hospital and released. 

Later that night, they watched the pairs figure-skating from the front row with the vice president and his wife, Jill.",uncertain,training
18,"Olympic Village -- More Sex than Woodstock

Guess this is what happens when chiseled, half-naked Olympic athletes hole-up together in one place.

Former Olympian Matthew Syed, who now works as a commentator, wrote, ""This sex fest ... [happened] right here in Beijing. Olympic athletes have to display an unnatural ... level of self-discipline in the build-up to big competitions. How else is this going to manifest itself than with a volcanic release of pent-up hedonism?""

Syed said that winners ""as geeky as Michael Phelps"" were sought after by the female athletes, but that losers get their share as well.

Matthew says he ""got laid more often in those two and a half weeks (at the Barcelona games in '92) than the rest of my life up to that point."" And he was freakin' table tennis player!

Guess a little ping-pong goes a long way sometimes ...",uncertain,test
19,"Olympic Swimmer in Wet Suit

One of the stars of the US Olympic swim team has his mankini in a bunch over his image -- and no, it's not Michael Phelps. 

Aaron Peirsol, who was the backstroking part of that awesome gold medal winning 4x100 meter medley team in the '08 games, is suing a marketing company who allegedly used his image in swimwear ads without proper permission. 

In a lawsuit filed last week in Orange County, Peirsol claims the marketing company placed the ads in Swimming World Magazine and USMS Magazine, knowing the magazines would be heavily distributed in Orange County -- Aaron's hometown. 

Peirsol is suing for licensing fees, attorney fees, and punitive damages.",uncertain,training
20,"Michael Phelps Cereal Killer

Five out of five dentists say Michael Phelps is all wet -- when it comes to his choice of breakfast cereal.

Health experts are going nuts because Mikey likes Frosted Flakes, and is going to be on the FF box rather than a Wheaties box, like pretty much every other big-shot athlete. They're all up in arms because Flakes has three times as much sugar as Wheaties and only a fraction of the fiber. Not so grrrrrreat after all?!

We've put in a call to the Wheaties peeps, but haven't heard back yet.",uncertain,test
21,"Lil' Kim DWTS Wardrobe Malfunction

Lil' Kim let it all hang out with partner Derek Hough to nab the top spot with the judges after their '50s Jive tribute Monday night on Dancing With The Stars. But Lil Kim's tiny top nearly upstaged her 28.

Reality star Melissa Rycroft and her partner Toni Dovolani rose from the ashes to score 27 points with their seductive Rumba.

However, the judges' other favorite, Gilles Marini slipped to a score of26. The ""I'm too sexy for my clothes' stud just could not get a handle on the Jive, telling his partner Cheryl Burke that it was just ""not his dance"" during rehearsals.

Olympic sensation Shawn Johnson felt like the Rumba may have not been very ""age appropriate"" for her - and her awkwardness showed. The judges noticed her hesitation, but still awarded her and partner Mark Ballas 26 points.

Bull-rider Ty Murry Jived with his partner Chelsie Hightower but couldn't get the moves down just right. Murry came off stiff and ""bewildered,"" according to the judges. The partners only manged 18 points.

But the lowest score of the night belonged to ... wait for it ... Jackass star Steve-O and his partner Lacey Schwimmer.

Football legend Lawrence Taylor and Edyta Sliwinska earned 22 points. Chuck Wicks and Julianne Hough earned 23 points.

Gilles Marini told our reporter, Tina Malave, how tough it was to tone his image down, while Lil' Kim nearly had wardrobe malfunction because of her smokin' bod.",uncertain,training
22,"Stripper's Shocking Charges About Phelps

While Friday marked his official return to competitive swimming, Michael Phelps is still in murky waters.

British paper News of the World has an explosive interview with a Baltimore, Maryland stripper who claims she's been having a six-month affair with the Olympian, complete with sex, drugs and emotional outbursts.

Theresa White, a Latina exotic dancer in Phelps' hometown, sat down with the News to discuss his supposed insatiable sexual appetite and hard partying ways.

was the first to show you Phelps and Miss California Carrie Prejean feeling no pain during a stint in Las Vegas.

White claims to have met the swimmer in November 2008, the same month the News released the now-infamous bong photos of Phelps.

""I saw Michael after the photos were published in February and he got really upset. He turned to me and said, ""I can't believe that happened. I'm terrified my career will be over."" He was almost in tears.""

White says he was certainly adept at finding comfort, however. He first encountered the dancer on a celebratory trip to her adult club, after claiming 8 gold medals in Beijing. He invited White and two other girls back to his waterfront pad where she propositioned him with a threesome.

""I was pretty drunk and I went up to Michael and said, ""If you were to have a threesome tonight, who would you like it to be with?"" ...The sex lasted for about three hours. Michael should get another Olympic gold for marathon love-making!""

While there were no complaints in the bedroom, White says Phelps chewed tobacco ""like a sailor,"" with spittoons peppering his condo, cried often over the stresses of the marijuana scandal and remained in constant communication with his mother.

While Phelps reassured White he cared about her, the most courting she got was a Taco Bell value meal and the occasional booty call, which she claims Phelps had a heavy rotation for.

"" I've heard that there are at least five or six girls he can call on any time to come over and be with him,"" says White.

She maintains that she expects nothing more from Phelps, and even says he's been scared away from pot.

""He might not be doing marijuana any more but he sure likes to party. That'll never change,"" White said.",uncertain,test
23,"Oprah Winfrey Sued Over Accusations Of Sex On Her Private Jet

A flight attendant has filed suit alleging she was fired by Oprah Winfrey's company, Harpo, Inc. as a result of a false accusation she and a married pilot had sex on the plane while Oprah napped.

Corrine Gehrls has sued Harpo, Inc. and fellow flight attendants Myron Gooch and Kirby Bumpus for the claimed wrongful termination.  In her legal filing, Gehrls says she and Chief Pilot Terry Pansing had a on-going dispute with Gooch over work schedules.  It became so heated, Gooch ""recruited"" Bumpus to join him in a plot to get the two fired. Bumpus is the daughter of Oprah's best friend Gayle King.

According to the document, ""Gooch and Bumpus falsely told Winfrey and Harpo that on the June 14, 2009 Harpo flight, the passengers on which included Winfrey and Bumpus, Pansing and Gehrls had been observed having inappropriate intimate conduct outside the cockpit of the plane.""  The pair was terminated July 7.

Pansing and Gooch, on the advice of their respective attorneys, took polygraph examinations which they say proved they were truthful in their insistence they hadn't joined the Mile High Club on Oprah's plane.  They presented the test results to Winfrey but she refused to reinstate them.

Gooch's lawsuit says that Pansing has separately settled the matter with Harpo, Inc.  She wants at least $300,000 in damages.",uncertain,training
24,"Rio wins 2016 Olympic Games

The carnival came early to Rio de Janeiro last night as the Brazilian city celebrated being chosen to host the 2016 Olympics.

More than 50,000 Samba-dancing locals, waving green, blue and yellow national flags, packed its Copacabana beach for a wild victory party.

Earlier they had cheered in front of huge TV screens on the beach as, with Brazil football legend Pele close to tears, International Olympic Committee president Jacques Rogge announced the result in Denmark capital Copenhagen.

Rio will be the first South American host after it takes on the Olympic torch from London in 2012.

It beat Madrid in the final round of voting. Tokyo and bookies' favourite Chicago had been eliminated in earlier rounds - despite President Barack Obama and his wife Michelle making a flying visit to Copenhagen to support the American city's bid. Olympics Minister Tessa Jowell congratulated Rio.

And PM Gordon Brown said: ""I have no doubt that Rio will make its own special contribution and make its own mark on this historic competition.""

But critics say the Games money would be better invested in solving the social problems of a city dogged by a high crime rate and dotted with thousands of slums.",uncertain,training
25,"Olympic ban for wonky teeth

A chinese girl with the voice of an angel was excluded from the Beijing Olympic opening ceremony - because she had wonky TEETH.

Linn Maioke captured the hearts of millions around the world with her performance at the Olympic opening ceremony.

But the nine-year-old was not actually singing - she was lip-synching to the voice of seven-year-old Yang Peiyi.

Yang's crooked teeth meant she missed out on the opening ceremony's top spot.

The revelation has stirred up anger in China's Internet chat rooms and on comment pages.

One said: ""What does it mean to say you are worried about image? Seven year old girls are all little angels. Why say this. It's really ridiculous.""

Others were less polite. ""That's bull****. Any little boy or girl who is not so good looking and sees such an explanation will sob their heart out.""

It has also emerged that the Chinese FAKED the film footage of the opening ceremony, using computer graphics of fireworks after it proved 'logistically impossible' to film them by helicopter.

In a further twist, Chinese Olympic organisers today admitted to deploying ""cheer squads"" to create atmosphere and disguise blocks of empty seats in the sports venues.

The legions of fans wearing matching yellow t-shirts and banging together inflatable batons have been highly visible at the first sold-out Games. But Wang Wei, vice-president of the Beijing Olympic Organising Committee revealed they were volunteers shipped in to ""create a good atmosphere"" by cheering for both sides at team events.",uncertain,test
26,"The sick way to get Games gold

A cruel trader in China shows how he is cashing in on this summer's Olympics - by selling live goldfish as souvenir key fobs.

The fish, sold in tiny sealed plastic bags which bear the Beijing Games mascot, have just hours to live before running out of air.

Animal rights campaigners have reacted with fury - but in China the gruesome gimmicks are selling fast.

The keyrings are being sold mainly to children in Qingdao, the city hosting the sailing events.",uncertain,training
27,"Tom Daley's Olympic bust-up with diving partner Blake Aldridge

British Olympic hopeful Tom Daley had a furious bust-up with diving partner Blake Aldridge after he blamed the youngster for the pair's failure to win an Olympic medal. 

Tom and Blake finished in eighth and last position in today's synchronised diving final.

After the competition Aldridge blasted 14-year-old Tom, the youngest competitor in the 2008 Olympic Games, for costing him a medal.

Aldridge, 26, accused Tom of having an attack of nerves and losing concentration because he was ""worrying about everyone and everything"".

The tension between the pair was obvious when feelings boiled over before the last of their two dives.

""He had a pop at me before the last dive, when we were sitting down,"" said Aldridge.

""I saw my mum in the audience and I asked her to give me a call and Tom went to me, 'Why are you on the phone? We're still in the competition and we've got another dive to do.'

""That's just Thomas - he's over-nervous and that's how it was today. Thomas should not be worrying about what I'm doing, but today he was worrying about everyone and everything and that to me is really the sole reason why he didn't perform today.""

Aldridge added: ""It's a synchro team, there's two of us, and that's the hard thing about it. Both of you have to be on your game at the same time and that just didn't happen today.

""Thomas is 14 years old. He's done phenomenally and for me to be a part of a partnership with him is a great thing. I knew, going into this Olympic Games, that we were capable of a medal, but I also knew that it depended on how Tom performed.

""I wasn't on the top of my game, but I out-dived Thomas today and that's not something that normally happens. That to me is because he had a lot more pressure on him than I did.

""I think it [the publicity] is the sole reason it went the way it did today, to be honest. I'm not disappointed with my performance.  I wasn't at my best but I landed on my head with every single dive, which was my aim. But it was hard work for me today.

""Tom was very nervous, more so than ever before. I think he really struggled to get through the competition, and as his partner it was hard for me to get up there and try and ease him into it. Unfortunately for me, it didn't work today.""

When asked about his thoughts on his performance Daley said: ""I was quite disappointed but it was a great experience and I really enjoyed myself.""

Daley, who will have another chance to go for Gold when he competes in the individual 10m platform event in 10 days' time, added: ""We just had a bad day.

""I tried to not make it feel different but there was lots of pressure on me and I was very nervous. It was there for the taking but it wasn't my day today. Now I'm looking at 2012, like I've always said.""

Aldridge concluded: ""Tom's lucky that he has got another chance and I hope he takes a lot of experience from this and that it stands him in good stead. Unfortunately I don't have another chance.""",uncertain,test
